Frequency / Hz,Vm3:Measured voltage,Vm3:Measured voltage
13000,22.74752354,186.9332516
14000,21.20854781,181.9221276
15000,20.08770031,182.5882296
16000,18.46600263,191.518781
17000,16.33964975,178.1885383
18000,15.46801469,191.1022528
19000,15.27602823,191.5807828
20000,13.61330753,191.8316694
21000,12.25726796,176.9190796
22000,13.34328164,188.796426
23000,12.30109333,174.4576349
24000,10.98196392,172.0386226
25000,11.07966666,175.8090136
26000,9.967424175,190.5244541
26370,13.06730526,231.1059229
