Frequency / Hz,Vm3:Measured voltage,Vm3:Measured voltage
10,60.65962721,349.7140565
20,60.83048969,352.8971911
30,60.8151766,355.4239936
40,60.6896252,357.3064614
50,60.49702608,358.567459
60,60.2757078,359.2359755
70,60.05129591,359.3441408
80,59.84388835,359.0046353
90,59.67308625,358.3239259
100,59.54486973,357.4016043
110,59.4593496,356.3804634
120,59.41741764,355.3565558
130,59.40895165,354.3778625
140,59.4235868,353.5202484
150,59.45718657,352.7959524
160,59.49887637,352.1851679
170,59.54133929,351.7057685
180,59.58501566,351.3312924
190,59.62311349,351.0182956
200,59.65358101,350.7811756
210,59.68036656,350.5859493
220,59.69937715,350.4005276
230,59.71110205,350.2453396
240,59.72086462,350.0938514
250,59.72448586,349.9248917
260,59.72422356,349.7717428
270,59.72467179,349.6051535
280,59.72134232,349.4188314
290,59.71687941,349.2477394
300,59.71533163,349.0625545
310,59.71107642,348.8652778
320,59.70825013,348.6911535
330,59.70900205,348.5044844
340,59.70801021,348.3185428
350,59.70997188,348.1622814
360,59.71632071,347.9960827
370,59.72138725,347.8420085
380,59.73177294,347.7192932
390,59.74646795,347.5865216
400,59.76165545,347.4736931
410,59.78419558,347.3872948
420,59.81184384,347.2844253
430,59.84176045,347.2032544
440,59.88147806,347.1315293
450,59.92642422,347.0337554
460,59.97609753,346.9461945
470,60.0365484,346.8427312
480,60.10172843,346.6942623
490,60.17271621,346.5386406
500,60.25355962,346.3319756
510,60.33686036,346.0645986
520,60.42511678,345.7638077
530,60.51935743,345.3849726
540,60.61198071,344.9337732
550,60.70652186,344.4326507
560,60.80087518,343.8387733
570,60.88875521,343.1794049
580,60.97390629,342.4662537
590,61.05244008,341.671207
600,61.12007344,340.8341474
610,61.18083792,339.9588015
620,61.22975542,339.0345663
630,61.26590136,338.106592
640,61.29274757,337.1715474
650,61.30614705,336.2346853
660,61.30808904,335.3370066
670,61.30165244,334.4690702
680,61.28444308,333.6465471
690,61.26083263,332.8956676
700,61.23312348,332.2019253
710,61.20115877,331.5815893
720,61.16987756,331.0389404
730,61.14050811,330.5582029
740,61.11432398,330.1443361
750,61.09454637,329.7864941
760,61.08134408,329.4690704
770,61.07573451,329.1871005
780,61.07813337,328.9273
790,61.08877712,328.6812139
800,61.10702106,328.4380515
810,61.13258421,328.1978055
820,61.16630414,327.9520742
830,61.20667571,327.6916581
840,61.25443107,327.4268154
850,61.3112095,327.134242
860,61.37399824,326.8134843
870,61.44597749,326.4653818
880,61.52597835,326.0535405
890,61.61033209,325.5873739
900,61.7022956,325.0538579
910,61.79594433,324.4206246
920,61.88886774,323.7180597
930,61.98239824,322.919298
940,62.06791383,322.0252371
950,62.14663845,321.0765845
960,62.21766369,320.0433045
970,62.27392614,318.9635243
980,62.32089424,317.8624867
990,62.35477736,316.7170348
1000,62.37336806,315.5847794
1100,62.06359389,307.3006327
1200,62.8319529,300.6829838
1300,62.50452743,287.9893209
1400,62.37270221,280.9653523
1500,61.67542273,267.1445244
1600,61.485024,260.9612426
1700,60.0078567,250.546712
1800,59.62927491,241.8340431
1900,58.73783499,239.8212783
2000,56.90276092,232.6762671
2100,56.13263144,225.3939697
2200,55.90977089,220.5520876
2300,55.1056971,221.3001231
2400,54.21350765,219.3710758
2500,52.95085932,220.1926984
2600,52.24391571,216.1635693
2700,51.25681821,217.116887
2800,50.81272804,212.1322562
2900,50.48203258,212.101357
3000,49.72584693,205.2159924
3100,49.07751877,200.0779635
3200,47.11956049,199.0267395
3300,46.37284827,204.4244024
3400,47.33201091,206.9308227
3500,46.44870493,196.5035935
3600,44.40668624,198.789647
3700,45.80982604,203.1197784
3800,44.17347724,192.6737456
3900,43.81722224,204.0269619
4000,43.43600573,189.5497973
4100,43.3035161,202.8036604
